track_or_instrument,instrument_name,is_drum,pitch,velocity,start,end,duration
0,,False,60,70,0.0,0.75,0.75
0,,False,63,65,0.75,1.125,0.375
0,,False,60,60,1.125,1.5,0.375
0,,False,58,68,1.5,2.25,0.75
0,,False,60,75,2.25,3.75,1.5
0,,False,65,72,3.75,4.3125,0.5625
0,,False,63,65,4.3125,4.5,0.1875
0,,False,60,70,4.5,5.25,0.75
0,,False,58,68,5.25,5.625,0.375
0,,False,56,65,5.625,6.0,0.375
0,,False,60,75,6.0,7.5,1.5
0,,False,67,80,7.5,7.875,0.375
0,,False,65,78,7.875,8.25,0.375
0,,False,63,75,8.25,9.0,0.75
0,,False,62,70,9.0,9.375,0.375
0,,False,60,68,9.375,9.75,0.375
0,,False,58,65,9.75,10.5,0.75
0,,False,63,70,10.5,11.0625,0.5625
0,,False,60,65,11.0625,11.25,0.1875
0,,False,58,60,11.25,11.625,0.375
0,,False,56,58,11.625,12.0,0.375
0,,False,60,50,12.0,15.0,3.0
