track_or_instrument,instrument_name,is_drum,pitch,velocity,start,end,duration
0,,False,51,100,0.010417,0.3625,0.352083
0,,False,48,110,0.35,0.691667,0.341667
0,,False,48,100,0.702083,2.092708,1.390625
0,,False,53,110,2.080208,2.603125,0.522917
0,,False,51,105,2.603125,2.784375,0.18125
0,,False,48,110,2.773958,3.455208,0.68125
0,,False,46,110,3.465625,3.822917,0.357292
0,,False,44,110,3.8125,4.154167,0.341667
0,,False,48,105,4.14375,5.527083,1.383333
0,,False,46,105,5.527083,6.220833,0.69375
0,,False,51,100,6.210417,6.73125,0.520833
0,,False,48,105,6.73125,6.9125,0.18125
0,,False,46,100,6.902083,7.252083,0.35
0,,False,44,100,7.252083,7.59375,0.341667
0,,False,48,105,7.583333,10.33125,2.747917
0,,False,51,100,10.335417,10.495833,0.160417
0,,False,48,110,10.491667,10.645833,0.154167
0,,False,48,100,10.65,11.289583,0.639583
0,,False,53,110,11.285417,11.525,0.239583
0,,False,51,105,11.525,11.60625,0.08125
0,,False,48,110,11.602083,11.914583,0.3125
0,,False,46,110,11.91875,12.08125,0.1625
0,,False,44,110,12.077083,12.233333,0.15625
0,,False,48,105,12.229167,12.866667,0.6375
0,,False,46,105,12.866667,13.185417,0.31875
0,,False,51,100,13.18125,13.420833,0.239583
0,,False,48,105,13.420833,13.502083,0.08125
0,,False,46,100,13.497917,13.658333,0.160417
0,,False,44,100,13.658333,13.814583,0.15625
0,,False,48,105,13.810417,15.077083,1.266667
